Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,1197.0,1204.0,1187.0,1194.0,1175.3414306640625,886336
2023-06-30,1202.5,1211.5,1197.280029296875,1199.0,1180.2633056640625,2451809
2023-07-03,1208.0,1230.0,1202.9300537109375,1223.5,1204.3804931640625,1565179
2023-07-04,1223.0,1242.0,1217.5,1237.5,1218.1617431640625,1831119
2023-07-05,1231.0,1242.0,1217.5,1225.0,1205.8570556640625,1003242
2023-07-06,1220.5,1240.5,1201.5,1207.0,1188.1383056640625,1258815
2023-07-07,1190.0,1216.0,1190.0,1214.5,1195.5211181640625,800405
2023-07-10,1210.5,1219.5,1209.5,1210.0,1191.0914306640625,967059
2023-07-11,1222.5,1227.5,1215.0,1222.5,1203.3961181640625,1409226
2023-07-12,1224.0,1258.5,1221.0,1258.5,1238.83349609375,1095441
2023-07-13,1261.0,1276.5,1257.5,1269.0,1249.16943359375,1165545
2023-07-14,1264.0,1295.0,1264.0,1292.5,1272.30224609375,2271333
2023-07-17,1286.5,1293.5,1274.5,1276.0,1256.06005859375,2244935
2023-07-18,1276.5,1312.0,1275.5,1304.5,1284.11474609375,2059323
2023-07-19,1310.0,1335.56103515625,1309.0,1322.5,1301.8333740234375,1686787
2023-07-20,1322.5,1344.5,1316.0,1330.5,1309.7083740234375,1608413
2023-07-21,1328.0,1329.0,1296.0,1301.5,1281.16162109375,2055643
2023-07-24,1294.0,1312.5,1294.0,1305.5,1285.09912109375,934085
2023-07-25,1306.0,1336.5,1302.5,1336.5,1315.6146240234375,929286
2023-07-26,1335.0,1342.5,1324.5,1340.0,1319.0599365234375,693170
2023-07-27,1348.0,1375.5,1346.5,1363.5,1342.1927490234375,1264287
2023-07-28,1357.5,1367.5,1349.0,1365.0,1343.6693115234375,685100
2023-07-31,1358.5,1375.0,1356.0,1365.5,1344.1614990234375,1058190
2023-08-01,1362.0,1366.5,1348.708984375,1356.0,1334.8099365234375,1087882
2023-08-02,1339.0,1342.5,1315.0,1335.5,1314.6302490234375,2948142
2023-08-03,1303.0,1312.0,1232.93505859375,1245.5,1226.0367431640625,3047430
2023-08-04,1227.0,1314.5,1227.0,1313.5,1292.9739990234375,1801496
2023-08-07,1304.0,1321.0,1296.5,1312.5,1291.9896240234375,1506285
2023-08-08,1300.5,1307.5,1287.0,1295.5,1275.25537109375,2065929
2023-08-09,1304.5,1310.5,1290.5,1293.0,1272.79443359375,935249
2023-08-10,1296.5,1300.5,1288.0,1299.5,1279.19287109375,1247172
